https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BUSD,tradecount
1694044800000,2023-09-07,ADABUSD,0.2577,0.2594,0.2529,0.2577,6714268.3,1719242.24805,6332
1693958400000,2023-09-06,ADABUSD,0.2578,0.2609,0.2521,0.2576,8983286.3,2305657.7688,8267
1693872000000,2023-09-05,ADABUSD,0.2561,0.2587,0.2538,0.2576,6813397.0,1749641.49603,6733
1693785600000,2023-09-04,ADABUSD,0.2559,0.26,0.2534,0.2561,6501388.6,1667744.96916,6939
1693699200000,2023-09-03,ADABUSD,0.2561,0.2568,0.2531,0.2559,4757422.3,1213047.7805,4568
1693612800000,2023-09-02,ADABUSD,0.2548,0.2572,0.2536,0.256,3573874.5,913203.73659,3706
1693526400000,2023-09-01,ADABUSD,0.2552,0.2587,0.2515,0.2549,9360439.7,2395943.22627,7906
1693440000000,2023-08-31,ADABUSD,0.2654,0.2666,0.2493,0.2555,11706243.2,3039153.43258,12317
1693353600000,2023-08-30,ADABUSD,0.2727,0.2728,0.2606,0.2654,10416305.2,2762818.00772,9277
1693267200000,2023-08-29,ADABUSD,0.2675,0.28,0.2601,0.2727,20461769.8,5552708.64708,18566
1693180800000,2023-08-28,ADABUSD,0.2632,0.2678,0.2576,0.2675,11901882.5,3130317.20066,8873
1693094400000,2023-08-27,ADABUSD,0.2608,0.2651,0.26,0.2633,6658112.1,1746883.73977,5006
1693008000000,2023-08-26,ADABUSD,0.2611,0.2617,0.2578,0.2607,7144552.6,1855312.80561,4303
1692921600000,2023-08-25,ADABUSD,0.2657,0.2708,0.259,0.2611,16703216.3,4394097.07123,13214
1692835200000,2023-08-24,ADABUSD,0.2682,0.2712,0.2622,0.2658,8449216.2,2252821.15442,8025
1692748800000,2023-08-23,ADABUSD,0.2584,0.2699,0.2581,0.268,11202366.0,2947809.33115,8373
1692662400000,2023-08-22,ADABUSD,0.2629,0.2633,0.25,0.2584,13500445.4,3465392.53825,11371
1692576000000,2023-08-21,ADABUSD,0.2704,0.2724,0.2588,0.2628,9884408.1,2627446.03068,9962
1692489600000,2023-08-20,ADABUSD,0.2687,0.273,0.2647,0.2705,8086796.0,2175231.55139,7401
1692403200000,2023-08-19,ADABUSD,0.2636,0.2697,0.2602,0.2688,8938351.5,2373167.473,7385
1692316800000,2023-08-18,ADABUSD,0.255,0.3,0.2544,0.2638,25652030.1,6739521.20403,25675
1692230400000,2023-08-17,ADABUSD,0.2743,0.2782,0.235,0.255,29166871.2,7701698.65969,32235
1692144000000,2023-08-16,ADABUSD,0.2817,0.2827,0.2652,0.2745,17066635.9,4684700.62907,16557
1692057600000,2023-08-15,ADABUSD,0.2903,0.2907,0.2753,0.2819,11534870.8,3274176.13277,13389
1691971200000,2023-08-14,ADABUSD,0.2893,0.2923,0.2871,0.2904,7422310.5,2154084.50701,7524
1691884800000,2023-08-13,ADABUSD,0.2918,0.2933,0.2868,0.2894,9188647.2,2670086.42554,8754
1691798400000,2023-08-12,ADABUSD,0.2931,0.2943,0.2907,0.2919,5214834.9,1525229.90558,5768
1691712000000,2023-08-11,ADABUSD,0.2961,0.2972,0.2921,0.2931,7476986.4,2203066.65877,7603
1691625600000,2023-08-10,ADABUSD,0.3011,0.3015,0.2956,0.2961,6377326.4,1901430.03263,10042
1691539200000,2023-08-09,ADABUSD,0.2971,0.3019,0.2958,0.301,8236191.4,2458889.52355,10127
